Metric / Column Header,Category,Authoritative Agency / Operator,Primary Source Document / Asset,Technical Derivation & Mathematical Formula,Operational & Business Rationale
Dist. to Fiber Line (km),Optical Corridor Proximity,Converge ICT Solutions Inc.,"NATIONAL & REGIONAL BACKBONE_NOV 2024_REPORT.kmz (4,401 fiber segments / 334,462 vertices)","Geometric distance calculated via 0.25-degree spatial grid index against 44,959 downsampled fiber route vertices.",Identifies barangays situated along existing long-haul optical transport corridors; awards +10 bonus points if within 2.0 km.
Deploy Tier,Engineering Readiness,TelTech & Comclark Engineering,Engineering Siting Specifications & Distance Matrix,"Categorical classification derived from dist_node_km and dist_line_km: Tier 1A (<1 km), Tier 1B (1-3 km), Tier 2 (3-5 km or <=2km line), Tier 3 (5-10 km), Tier 4 (>10 km)","Defines civil works readiness, permitting timeline, and backhaul transmission architecture (direct fiber vs. microwave/satellite spur)."
Carrier Spectrum,Radio Spectrum,3GPP & National Telecommunications Commission (NTC),"3GPP TS 38.101-1 (Band n50, 1432-1517 MHz, 1.5 GHz L-Band TDD) & NTC Spectrum Allocations",60 MHz contiguous TDD carrier bandwidth in sub-2 GHz L-Band spectrum.,"Provides the optimal compromise between deep indoor building penetration, non-line-of-sight (NLOS) propagation, and 2.5-3.5 km rural cell coverage radius."
Subs @ 30% (Target Subscribers),Commercial Demand,Commercial Business Model Assumption,Commercial Business Case Assumption (FWA Meeting Pack),"Modeled: = ROUND(Households * 0.30, 0)",Calculates the commercial target subscriber base assuming a 30% steady-state adoption ceiling among addressable households. Defines subscriber loading requirements for dimensioning RAN capacity.
Initial Day 1 Build (BTS),CAPEX & Siting Policy,TelTech / Comclark Commercial Plan,Option A Architecture Specification (FWA Design Phase),Fixed standard: Exactly 1 BTS installed per priority barangay on Day 1.,"Establishes immediate commercial presence, fast time-to-market, and coverage across 1,000 distinct communities per phase without speculative overbuilding."
Peak 30% Demand Capacity (BTS),RAN Capacity Dimensioning,3GPP / TelTech RAN Engineering,"Band n50 60MHz Dimensioning Model (@ 1,000 Subs/BTS)","Modeled: = ROUNDUP(Target Subs @ 30% / 1,000, 0)
Dimensioned strictly for 1,000 subscribers per BTS total across 3 sectors (~333 subs/sector).",Defines the long-term radio absorption capacity needed if 30% penetration is reached. Unlocks organic 2nd/3rd BTS on existing tower footprint without new land acquisition.
Deploy Score (35%),Site Siting Pillar 3,Multi-Criteria Spatial Engine,Converge KMZ Distance Model & Haversine Matrix,"Exponential decay model:
Score = 100 * exp(-dist_node_km / 3.0) + [10 pt bonus if dist_line_km <= 2.0 km].
Bounded [15.0, 100.0].","Quantifies the ease and cost of site construction, presence of 220V grid power, existing tower infrastructure, and short-distance optical fiber backhaul."
Viability Score (35%),Site Siting Pillar 2,Commercial Financial Engine,Household Demand Density & FIES Affordability Adjustment,"Continuous sweet-spot curve on poverty-adjusted subscribers:
viable_subs = subs_target * (1 - 0.40 * poverty_pct/100)
Evaluates 300 to 1,000 subs sweet-spot fit, adjusted for regional GDP.",Guarantees that 1 BTS generates sufficient cash flow to achieve full CAPEX payback within 14 to 22 months while adjusting for local household purchasing power.
Necessity Score (30%),Site Siting Pillar 1,Broadband Deficit & Universal Service Engine,"PSA Rural Classification, DOF Income Class, Node Proximity & FIES Table A","Multi-factor broadband deficit:
Score = 0.40 * Rural_Comp + 0.25 * Class_Comp + 0.20 * OffNet_Comp + 0.15 * Poverty_Comp
Where OffNet_Comp is spatial distance (25 to 100 pts), and Poverty_Comp is scaled FIES poverty rate.","Directly identifies communities suffering from lack of commercial broadband and economic digital exclusion, prioritizing unserved rural areas."
Composite Score (0 - 100),Master Ranking,Multi-Criteria Decision Analysis (MCDA),Master Prioritization Algorithm (generate_barangay_rollout_2024.py),"Weighted Multi-Criteria Siting Algorithm:
Score = 0.35 * Deploy_Score + 0.35 * Viability_Score + 0.30 * Necessity_Score","The master sorting index ranking all 41,976 barangays nationwide into sequential 1,000-site commercial rollout batches."
